============================== SRIM-2013.00 ==============================
==============================================================================
------------------------------------------------------------------------------
====== TRIM Calc.=  C(65.1 keV) ==> None(  2 um) =============================
------------------------------------------------------------------------------
============================================================
º     Ion Name   =      C                                  º
º     Ion Mass   =    012.011 amu                          º
º     Ion Energy =000000065.1 keV                          º
============================================================
>      C  Displacement Energy of  C = 0028.00000 eV
  Latt.Binding Energy of  C = 0003.00000 eV
  SurfaceBind. Energy of  C = 0007.41000 eV
============================================================
 
==========================  COLLISION HISTORY  =======================================================
  NOTES: Only Ion Collisions which produce Displacements are tabulated.                               
         Atom Sums and Averages are Incomplete if Recoil Cascades Leave Target.                       
         Target DISPlacements = VACancies + REPLACement Collisions.                                   
         Target VACancies = INTERstitials + Sputtered + Transmitted Atoms.                            
                            Recoil Atoms which end at the surface, are not counted (see manual).      
======================================================================================================
  Ion    Energy    Depth     Lateral Distance (A)   Se    Atom  Recoil    Target Target Target Target 
  Numb   (keV)      (A)       Y Axis    Z Axis    (eV/A)  Hit  Energy(eV) DISP.  VAC.   REPLAC INTER  
------------------------------------------------------------------------------------------------------
³00001³63.16E+00³16392.E-03³-1063.E-05³-6835.E-07³0064.09³  C ³57698.E+00³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  57698.E+00 1639.E-02 -1063.E-05 -6835.E-07  1   00 Û<ÄPrime RecoilÛ
Û 00112   06  12063.E-02 3355.E-02  3630.E-01 -8203.E-01  1   00 Û
Û 00113   06  69083.E-03 3300.E-02  3643.E-01 -8214.E-01  1   00 Û
Û 00114   06  63869.E-03 3417.E-02  3607.E-01 -8179.E-01  1   00 Û
Û 00115   06  30113.E-03 3448.E-02  3627.E-01 -8150.E-01  1   00 Û
Û 00116   06  10644.E-01 3809.E-02  3563.E-01 -8090.E-01  1   00 Û
Û 00117   06  94417.E-03 3930.E-02  3443.E-01 -7944.E-01  1   00 Û
Û 00118   06  10681.E-02 3839.E-02  3436.E-01 -8013.E-01  1   00 Û
Û 00119   06  29851.E-03 3803.E-02  3455.E-01 -7984.E-01  1   00 Û
Û 00120   06  45476.E-03 3846.E-02  3468.E-01 -8056.E-01  1   00 Û
Û 00121   06  44554.E-02 3742.E-02  3510.E-01 -8087.E-01  1   00 Û
Û 00122   06  33627.E-03 2866.E-02  3677.E-01 -7867.E-01  1   00 Û
Û 00123   06  54269.E-03 2858.E-02  3635.E-01 -7897.E-01  1   00 Û
Û 00124   06  28861.E-03 3127.E-02  3597.E-01 -7950.E-01  1   00 Û
Û 00125   06  40862.E-03 3233.E-02  3561.E-01 -7988.E-01  1   00 Û
Û 00126   06  00000.E+00 3202.E-02  3575.E-01 -7977.E-01  0   01 Û
Û 00127   06  34308.E-03 3202.E-02  3575.E-01 -7977.E-01  1   00 Û
Û 00128   06  29246.E-03 3317.E-02  3554.E-01 -8002.E-01  1   00 Û
Û 00129   06  34620.E-03 3435.E-02  3550.E-01 -8015.E-01  1   00 Û
Û 00130   06  13473.E-02 3805.E-02  3545.E-01 -8085.E-01  1   00 Û
Û 00131   06  64121.E-03 3735.E-02  3525.E-01 -8113.E-01  1   00 Û
Û 00132   06  00000.E+00 3529.E-02  3542.E-01 -8135.E-01  0   01 Û
Û 00133   06  36030.E-03 3529.E-02  3542.E-01 -8135.E-01  1   00 Û
Û 00134   06  15844.E-02 4040.E-02  3415.E-01 -7826.E-01  1   00 Û
Û 00135   06  68404.E-03 4173.E-02  3367.E-01 -7870.E-01  1   00 Û
Û 00136   06  42678.E-03 4140.E-02  3384.E-01 -7867.E-01  1   00 Û
Û 00137   06  20965.E-02 4221.E-02  3139.E-01 -7110.E-01  1   00 Û
Û 00138   06  60711.E-03 4272.E-02  3107.E-01 -7102.E-01  1   00 Û
Û 00139   06  28504.E-03 4282.E-02  3136.E-01 -7119.E-01  1   00 Û
Û 00140   06  96597.E-03 4223.E-02  3124.E-01 -7100.E-01  1   00 Û
Û 00141   06  41149.E-03 4174.E-02  3116.E-01 -7062.E-01  1   00 Û
Û 00142   06  00000.E+00 4175.E-02  3116.E-01 -7080.E-01  0   01 Û
Û 00143   06  33803.E-03 4175.E-02  3116.E-01 -7080.E-01  1   00 Û
Û 00144   06  26474.E-02 4142.E-02  3102.E-01 -7029.E-01  1   00 Û
Û 00145   06  28529.E-03 3844.E-02  3174.E-01 -6980.E-01  1   00 Û
Û 00146   06  71698.E-03 3949.E-02  3148.E-01 -7023.E-01  1   00 Û
Û 00147   06  48107.E-03 3847.E-02  3151.E-01 -7038.E-01  1   00 Û
Û 00148   06  33444.E-03 3634.E-02  3133.E-01 -7059.E-01  1   00 Û
Û 00149   06  60023.E-03 4084.E-02  3136.E-01 -7025.E-01  1   00 Û
Û 00150   06  46305.E-03 4141.E-02  3120.E-01 -7029.E-01  1   00 Û
Û 00151   06  29471.E-03 4141.E-02  3107.E-01 -7041.E-01  1   00 Û
Û 00152   06  28790.E-03 4149.E-02  3095.E-01 -7013.E-01  1   00 Û
Û 00153   06  32242.E-03 4154.E-02  3073.E-01 -6964.E-01  1   00 Û
Û 00154   06  35478.E-03 4155.E-02  3032.E-01 -6885.E-01  1   00 Û
Û 00155   06  31903.E-03 4251.E-02  2966.E-01 -6759.E-01  1   00 Û
Û 00156   06  30272.E-03 4402.E-02  2909.E-01 -6649.E-01  1   00 Û
Û 00157   06  15229.E-02 5868.E-02  2465.E-01 -5786.E-01  1   00 Û
Û 00158   06  52700.E-03 5769.E-02  2398.E-01 -5771.E-01  1   00 Û
Û 00159   06  47400.E-03 5946.E-02  2396.E-01 -5642.E-01  1   00 Û
Û 00160   06  28107.E-03 5946.E-02  2412.E-01 -5649.E-01  1   00 Û
Û 00161   06  33463.E-03 6092.E-02  2322.E-01 -5480.E-01  1   00 Û
Û 00162   06  36525.E-03 6269.E-02  2227.E-01 -5289.E-01  1   00 Û
Û 00163   06  13835.E-02 6580.E-02  2084.E-01 -4963.E-01  1   00 Û
Û 00164   06  34402.E-03 6637.E-02  2066.E-01 -4916.E-01  1   00 Û
Û 00165   06  28265.E-03 6637.E-02  2078.E-01 -4930.E-01  1   00 Û
Û 00166   06  45833.E-03 6579.E-02  2072.E-01 -4950.E-01  1   00 Û
Û 00167   06  32387.E-03 6664.E-02  1970.E-01 -4741.E-01  1   00 Û
Û 00168   06  33918.E-03 6729.E-02  1879.E-01 -4547.E-01  1   00 Û
Û 00169   06  31242.E-03 6881.E-02  1783.E-01 -4337.E-01  1   00 Û
Û 00170   06  13675.E-02 6941.E-02  1641.E-01 -4010.E-01  1   00 Û
Û 00171   06  42935.E-03 7040.E-02  1608.E-01 -3969.E-01  1   00 Û
Û 00172   06  97610.E-03 6910.E-02  1601.E-01 -3930.E-01  1   00 Û
Û 00173   06  34604.E-03 6911.E-02  1585.E-01 -3937.E-01  1   00 Û
Û 00174   06  30367.E-03 5714.E-02  1190.E-01 -2968.E-01  1   00 Û
Û 00175   06  69123.E-03 5434.E-02  1060.E-01 -2637.E-01  1   00 Û
Û 00176   06  34157.E-03 4899.E-02  8037.E-02 -2090.E-01  1   00 Û
Û 00177   06  49039.E-03 4784.E-02  7555.E-02 -1995.E-01  1   00 Û
Û 00178   06  34133.E-03 4784.E-02  7569.E-02 -2013.E-01  1   00 Û
Û 00179   06  28898.E-03 4785.E-02  7741.E-02 -2018.E-01  1   00 Û
Û 00180   06  12148.E-02 4728.E-02  7336.E-02 -1946.E-01  1   00 Û
Û 00181   06  57993.E-03 5003.E-02  7077.E-02 -2021.E-01  1   00 Û
Û 00182   06  21016.E-02 3945.E-02  5387.E-02 -1454.E-01  1   00 Û
Û 00183   06  31395.E-03 3677.E-02  5088.E-02 -1526.E-01  1   00 Û
Û 00184   06  82451.E-03 3923.E-02  5206.E-02 -1504.E-01  1   00 Û
Û 00185   06  11498.E-02 2970.E-02  3679.E-02 -9370.E-02  1   00 Û
Û 00186   06  63900.E-05 2853.E-02  4491.E-02 -9507.E-02  0   01 Û
Û 00187   06  32932.E-03 2853.E-02  4491.E-02 -9507.E-02  1   00 Û
Û 00188   06  20023.E-02 2352.E-02  2122.E-02 -4663.E-02  1   00 Û
Û 00189   06  10200.E-02 2415.E-02  2059.E-02 -4328.E-02  1   00 Û
Û 00190   06  41070.E-03 2354.E-02  2062.E-02 -4495.E-02  1   00 Û
Û 00191   06  86940.E-03 2329.E-02  2056.E-02 -4499.E-02  1   00 Û
Û 00192   06  11154.E-02 1881.E-02  9141.E-03 -1921.E-02  1   00 Û
Û 00193   06  51147.E-03 2083.E-02  1369.E-02 -1814.E-02  1   00 Û
==================================================================
³                                Summary of Above Cascade ==> ³57698.E+00³000181³000164³000017³000167³
³00001³51.85E-01³20604.E-03³ 7583.E-03³-1030.E-02³0019.95³  C ³28201.E-03³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  28201.E-03 2060.E-02  7583.E-03 -1030.E-02  1   00 Û<ÄPrime RecoilÛ
==================================================================
³                                Summary of Above Cascade ==> ³28201.E-03³000001³000001³000000³000001³
³00001³50.44E-01³22062.E-03³ 1016.E-02³-1376.E-02³0019.67³  C ³32044.E-02³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  32044.E-02 2206.E-02  1016.E-02 -1376.E-02  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  11004.E-02 2725.E-02  1799.E-02 -1032.E-02  1   00 Û
Û 00003   06  35746.E-03 2980.E-02  1762.E-02 -1273.E-02  1   00 Û
Û 00004   06  35199.E-03 2615.E-02  1749.E-02 -1163.E-02  1   00 Û
Û 00005   06  79059.E-03 2533.E-02  1634.E-02 -1272.E-02  1   00 Û
Û 00006   06  29442.E-03 2664.E-02  1618.E-02 -1598.E-02  1   00 Û
==================================================================
³                                Summary of Above Cascade ==> ³32044.E-02³000006³000006³000000³000006³
³00001³41.90E-01³25804.E-03³ 1667.E-02³-3201.E-02³0017.93³  C ³39453.E-03³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  39453.E-03 2580.E-02  1667.E-02 -3201.E-02  1   00 Û<ÄPrime RecoilÛ
==================================================================
³                                Summary of Above Cascade ==> ³39453.E-03³000001³000001³000000³000001³
³00001³40.84E-01³27398.E-03³ 1869.E-02³-3688.E-02³0017.70³  C ³14736.E-02³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  14736.E-02 2740.E-02  1869.E-02 -3688.E-02  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  28764.E-03 2946.E-02  2656.E-02 -3446.E-02  1   00 Û
==================================================================
³                                Summary of Above Cascade ==> ³14736.E-02³000002³000002³000000³000002³
³00001³37.52E-01³30695.E-03³ 2205.E-02³-5438.E-02³0016.97³  C ³80481.E-03³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  80481.E-03 3070.E-02  2205.E-02 -5438.E-02  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  31530.E-03 2911.E-02  2232.E-02 -5516.E-02  1   00 Û
==================================================================
³                                Summary of Above Cascade ==> ³80481.E-03³000002³000002³000000³000002³
³00001³35.50E-01³31831.E-03³ 2267.E-02³-5770.E-02³0016.51³  C ³21658.E-02³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  21658.E-02 3183.E-02  2267.E-02 -5770.E-02  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  28073.E-03 2644.E-02  2793.E-02 -6095.E-02  1   00 Û
Û 00003   06  68008.E-03 2800.E-02  2737.E-02 -6031.E-02  1   00 Û
Û 00004   06  57592.E-03 3061.E-02  2304.E-02 -5896.E-02  1   00 Û
Û 00005   06  33009.E-03 2993.E-02  2273.E-02 -6057.E-02  1   00 Û
==================================================================
³                                Summary of Above Cascade ==> ³21658.E-02³000005³000005³000000³000005³
